Wort                                  Start         Ende
--------------------------------------------------------
Ja,                            00:00:07.460 00:00:08.040
froh                           00:04:38.520 00:04:38.860
ist,                           00:04:38.860 00:04:39.000
wenn                           00:04:39.080 00:04:39.160
er                             00:04:39.160 00:04:39.280
meinen                         00:04:39.280 00:04:39.560
Korn                           00:04:39.560 00:04:39.940
findet.                        00:04:39.940 00:04:40.360
Und                            00:04:41.500 00:04:41.640
anstelle                       00:04:41.640 00:04:42.160
von                            00:04:42.160 00:04:42.460
Basislager                     00:04:42.460 00:04:43.320
und                            00:04:43.320 00:04:43.580
für                            00:04:43.580 00:04:43.740
Helden                         00:04:43.740 00:04:44.140
reißen                         00:04:44.140 00:04:44.680
haben                          00:04:44.680 00:04:44.800
wir                            00:04:44.800 00:04:45.000
so                             00:04:45.000 00:04:45.180
eine                           00:04:45.180 00:04:45.340
Art                            00:04:45.340 00:04:45.520
Gewächshäuse,                  00:04:45.520 00:04:46.280
wo                             00:04:46.460 00:04:46.620
Pisa                           00:04:46.620 00:04:47.280
geprüfte                       00:04:47.280 00:04:48.400
Kurken                         00:04:48.400 00:04:49.140
und                            00:04:49.140 00:04:49.340
Tomaten                        00:04:49.340 00:04:49.720
rauskommen.                    00:04:49.720 00:04:50.760
Und                            00:04:50.760 00:04:51.420
das                            00:04:51.420 00:04:51.600
ist                            00:04:51.600 00:04:52.440
nicht                          00:04:52.440 00:04:52.640
so                             00:04:52.640 00:04:52.880
günstig                        00:04:52.880 00:04:53.480
für                            00:04:53.480 00:04:54.000
das,                           00:04:54.000 00:04:54.840
was                            00:04:54.980 00:04:55.060
Kinder                         00:04:55.060 00:04:55.400
eigentlich                     00:04:55.400 00:04:55.800
brauchen.                      00:04:55.800 00:04:56.320
Und                            00:04:57.440 00:04:57.560
deshalb                        00:04:57.560 00:04:57.940
müssen                         00:04:57.940 00:04:58.160
wir                            00:04:58.160 00:04:58.300
uns                            00:04:58.300 00:04:58.460
die                            00:04:58.460 00:04:58.580
Frage                          00:04:58.580 00:04:58.780
stellen,                       00:04:58.780 00:04:59.080
warum                          00:04:59.180 00:04:59.360
machen                         00:04:59.360 00:04:59.520
wir                            00:04:59.520 00:04:59.600
das                            00:04:59.600 00:04:59.700
nicht                          00:04:59.700 00:04:59.860
anders?                        00:04:59.860 00:05:00.120
Warum                          00:05:00.540 00:05:00.780
ändern                         00:05:00.780 00:05:01.120
wir                            00:05:01.120 00:05:01.360
nicht                          00:05:01.360 00:05:01.700
diese                          00:05:01.700 00:05:02.820
Erfahrungen,                   00:05:02.820 00:05:03.600
die                            00:05:03.800 00:05:03.840
Kinder                         00:05:03.840 00:05:04.200
in                             00:05:04.200 00:05:04.380
der                            00:05:04.380 00:05:04.520
Schule                         00:05:04.520 00:05:04.780
machen?                        00:05:04.780 00:05:05.800
Es                             00:05:06.400 00:05:06.540
kommt                          00:05:06.540 00:05:06.720
ja                             00:05:06.720 00:05:06.920
gar                            00:05:06.920 00:05:07.100
nicht                          00:05:07.100 00:05:07.280
so                             00:05:07.280 00:05:07.420
sehr                           00:05:07.420 00:05:07.560
darauf                         00:05:07.560 00:05:07.860
an,                            00:05:07.860 00:05:08.020
was                            00:05:08.060 00:05:08.180
man                            00:05:08.180 00:05:08.340
alles                          00:05:08.340 00:05:08.620
weiß,                          00:05:08.620 00:05:08.860
wie                            00:05:09.100 00:05:09.220
sie                            00:05:09.220 00:05:09.840
hier                           00:05:09.840 00:05:10.020
sitzen                         00:05:10.020 00:05:10.460
und                            00:05:10.460 00:05:10.760
wie                            00:05:10.760 00:05:10.900
sie                            00:05:10.900 00:05:11.020
hier                           00:05:11.020 00:05:11.180
zuschauen.                     00:05:11.180 00:05:11.660
Wir                            00:05:11.940 00:05:12.160
sind                           00:05:12.160 00:05:12.280
doch,                          00:05:12.280 00:05:12.460
dass                           00:05:12.520 00:05:12.620
das                            00:05:12.620 00:05:12.800
entscheidend                   00:05:12.800 00:05:13.480
im                             00:05:13.480 00:05:13.680
Leben,                         00:05:13.680 00:05:14.040
was                            00:05:14.040 00:05:14.280
ihnen                          00:05:14.280 00:05:14.500
geholfen                       00:05:14.500 00:05:14.980
hat,                           00:05:14.980 00:05:15.120
sich                           00:05:15.180 00:05:15.300
zurechtzufinden,               00:05:15.300 00:05:16.040
was                            00:05:16.220 00:05:16.300
ihnen                          00:05:16.300 00:05:16.540
immer                          00:05:16.540 00:05:17.120
wieder                         00:05:17.120 00:05:17.360
hilft,                         00:05:17.360 00:05:17.720
das                            00:05:17.720 00:05:18.280
Wichtige                       00:05:18.280 00:05:18.800
vom                            00:05:18.800 00:05:19.020
Unsichtigen                    00:05:19.020 00:05:19.620
zu                             00:05:19.620 00:05:19.760
unterscheiden                  00:05:19.760 00:05:20.320
und                            00:05:20.320 00:05:20.500
sich                           00:05:20.500 00:05:20.720
auf                            00:05:20.720 00:05:21.100
bestimmte                      00:05:21.100 00:05:21.560
Dinge                          00:05:21.560 00:05:21.820
zu                             00:05:21.820 00:05:22.440
konzentrieren                  00:05:22.440 00:05:23.180
und                            00:05:23.180 00:05:23.360
allen                          00:05:23.360 00:05:23.520
bestimmten                     00:05:23.520 00:05:24.000
Dingen                         00:05:24.000 00:05:24.180
zu                             00:05:24.180 00:05:24.440
arbeiten                       00:05:24.440 00:05:24.820
und                            00:05:24.820 00:05:25.200
bestimmte                      00:05:26.260 00:05:26.860
Lösungen                       00:05:26.860 00:05:27.220
zu                             00:05:27.220 00:05:27.420
suchen,                        00:05:27.420 00:05:27.660
das                            00:05:27.740 00:05:27.860
ist                            00:05:27.860 00:05:28.000
doch                           00:05:28.000 00:05:28.140
nicht                          00:05:28.140 00:05:28.280
das                            00:05:28.280 00:05:28.480
Wissen,                        00:05:28.480 00:05:28.760
was                            00:05:28.820 00:05:28.960
sie                            00:05:28.960 00:05:29.080
irgendwo                       00:05:29.080 00:05:29.380
gelernt                        00:05:29.380 00:05:29.700
haben.                         00:05:29.700 00:05:30.000
Das                            00:05:30.100 00:05:30.160
sind                           00:05:30.160 00:05:30.340
doch                           00:05:30.340 00:05:30.500
die                            00:05:30.500 00:05:30.700
Erfahrungen,                   00:05:30.700 00:05:31.240
die                            00:05:31.660 00:05:32.220
sie                            00:05:32.220 00:05:32.420
gemacht                        00:05:32.420 00:05:32.920
haben                          00:05:32.920 00:05:33.240
im                             00:05:33.240 00:05:33.400
Laufe                          00:05:33.400 00:05:33.640
ihres                          00:05:33.640 00:05:33.920
Lebens.                        00:05:33.920 00:05:34.200
Und                            00:05:34.720 00:05:34.820
das                            00:05:34.820 00:05:34.920
sollten                        00:05:34.920 00:05:35.260
natürlich                      00:05:35.260 00:05:35.920
nur                            00:05:35.920 00:05:36.460
gute                           00:05:36.460 00:05:37.100
Erfahrungen                    00:05:37.100 00:05:37.760
sein.                          00:05:37.760 00:05:38.060
Und                            00:05:38.240 00:05:38.280
deshalb                        00:05:38.280 00:05:38.480
sollten                        00:05:38.480 00:05:38.900
Schulen                        00:05:38.900 00:05:39.240
eben                           00:05:39.240 00:05:39.580
Erfahrungsräume                00:05:39.580 00:05:41.000
bieten,                        00:05:41.000 00:05:41.380
wo                             00:05:41.520 00:05:41.620
man                            00:05:41.620 00:05:41.920
Lust                           00:05:41.920 00:05:42.860
auf                            00:05:42.860 00:05:44.100
das                            00:05:44.100 00:05:44.400
bekommt.                       00:05:44.400 00:05:45.840
Und                            00:05:45.840 00:05:46.000
wo                             00:05:46.000 00:05:46.760
diese                          00:05:46.760 00:05:47.040
Lust                           00:05:47.040 00:05:47.380
auch                           00:05:47.380 00:05:48.020
immer                          00:05:48.020 00:05:48.240
stärker                        00:05:48.240 00:05:48.620
wird,                          00:05:48.620 00:05:48.920
nämlich                        00:05:49.520 00:05:49.660
diese                          00:05:49.660 00:05:50.080
Welt                           00:05:50.080 00:05:50.280
zu                             00:05:50.280 00:05:50.520
gestalten                      00:05:50.520 00:05:50.940
und                            00:05:50.940 00:05:51.600
diese                          00:05:51.600 00:05:51.920
Zukunft                        00:05:51.920 00:05:52.360
verantwortlich                 00:05:52.360 00:05:53.400
mitzugestalten.                00:05:53.400 00:05:54.840
Wenn                           00:05:56.200 00:05:56.700
das                            00:05:56.700 00:05:56.960
heute                          00:05:56.960 00:05:57.340
so                             00:05:57.340 00:05:57.600
schwer                         00:05:57.600 00:05:57.860
ist                            00:05:57.860 00:05:58.080
in                             00:05:58.080 00:05:58.240
unseren                        00:05:58.240 00:05:58.520
Schulen,                       00:05:58.520 00:05:58.760
gibt                           00:05:58.760 00:05:58.980
es                             00:05:58.980 00:05:59.180
dafür                          00:05:59.180 00:05:59.460
nach                           00:05:59.460 00:05:59.620
ein                            00:05:59.620 00:05:59.860
einzigen                       00:05:59.860 00:06:00.380
Grund                          00:06:00.380 00:06:00.580
und                            00:06:00.580 00:06:00.840
das                            00:06:00.840 00:06:01.060
ist                            00:06:01.060 00:06:01.560
auch                           00:06:01.560 00:06:01.740
wieder                         00:06:01.740 00:06:01.980
einer,                         00:06:01.980 00:06:02.220
der                            00:06:02.220 00:06:02.420
am                             00:06:02.420 00:06:02.580
Hirn                           00:06:02.580 00:06:02.840
liegt.                         00:06:02.840 00:06:03.060
Es                             00:06:03.940 00:06:04.100
gibt                           00:06:04.100 00:06:04.260
offenbar                       00:06:04.260 00:06:04.740
zu                             00:06:04.740 00:06:04.940
viele                          00:06:04.940 00:06:05.180
Menschen,                      00:06:05.180 00:06:05.560
die                            00:06:05.600 00:06:05.820
sich                           00:06:05.820 00:06:06.000
nicht                          00:06:06.000 00:06:06.160
vorstellen                     00:06:06.160 00:06:06.480
können,                        00:06:06.480 00:06:06.860
dass                           00:06:07.220 00:06:07.300
man                            00:06:07.300 00:06:07.500
so                             00:06:07.500 00:06:07.680
ein                            00:06:07.680 00:06:07.900
stares                         00:06:07.900 00:06:08.260
System,                        00:06:08.260 00:06:08.700
wie                            00:06:08.840 00:06:08.920
unser                          00:06:08.920 00:06:09.160
Schulsystem,                   00:06:09.160 00:06:09.660
verändern                      00:06:09.800 00:06:10.020
kann.                          00:06:10.020 00:06:10.320
Und                            00:06:11.380 00:06:11.980
diejenigen,                    00:06:11.980 00:06:12.440
die                            00:06:12.620 00:06:12.660
sie                            00:06:12.660 00:06:12.820
es                             00:06:12.820 00:06:12.920
vielleicht                     00:06:12.920 00:06:13.080
vorstellen                     00:06:13.080 00:06:13.480
können,                        00:06:13.480 00:06:13.820
dass                           00:06:13.980 00:06:14.020
man                            00:06:14.020 00:06:14.200
es                             00:06:14.200 00:06:14.360
überhaupt                      00:06:14.360 00:06:14.680
verändern                      00:06:14.680 00:06:15.040
kann,                          00:06:15.040 00:06:15.340
die                            00:06:15.440 00:06:15.460
haben                          00:06:15.460 00:06:15.600
wiederum                       00:06:15.600 00:06:16.080
Schwierigkeiten,               00:06:16.080 00:06:17.320
sich                           00:06:17.460 00:06:17.600
vorzustellen,                  00:06:17.600 00:06:18.120
wie                            00:06:18.280 00:06:18.340
es                             00:06:18.340 00:06:18.440
denn                           00:06:18.440 00:06:18.540
eigentlich                     00:06:18.540 00:06:19.020
werden                         00:06:19.020 00:06:19.980
müsste,                        00:06:19.980 00:06:20.400
wie                            00:06:20.840 00:06:20.920
den                            00:06:20.920 00:06:21.160
Schule                         00:06:21.160 00:06:21.500
eigentlich                     00:06:21.500 00:06:21.900
in                             00:06:21.900 00:06:22.280
Zukunft                        00:06:22.280 00:06:22.640
aussehen                       00:06:22.640 00:06:23.520
müsste.                        00:06:23.520 00:06:23.800
Wie                            00:06:24.240 00:06:24.340
Bildung                        00:06:24.340 00:06:25.080
funktionieren                  00:06:25.080 00:06:26.180
sollte.                        00:06:26.180 00:06:26.480
Worauf                         00:06:26.660 00:06:27.060
eigentlich                     00:06:27.060 00:06:28.340
ist                            00:06:28.340 00:06:28.740
bei                            00:06:28.740 00:06:29.140
dem,                           00:06:29.140 00:06:29.400
was                            00:06:29.500 00:06:29.620
Kinder                         00:06:29.620 00:06:30.120
in                             00:06:30.120 00:06:30.680
ihrer                          00:06:30.680 00:06:31.080
Kindheit                       00:06:31.080 00:06:31.960
und                            00:06:31.960 00:06:32.180
Jugend                         00:06:32.180 00:06:32.400
lernen,                        00:06:32.400 00:06:32.680
es                             00:06:33.000 00:06:33.100
wirklich                       00:06:33.100 00:06:33.400
ankommt?                       00:06:33.400 00:06:34.220
Und                            00:06:34.220 00:06:35.580
diese                          00:06:35.580 00:06:36.300
Fragen                         00:06:36.300 00:06:36.720
beschäftigen                   00:06:36.720 00:06:37.780
uns                            00:06:37.780 00:06:38.040
im                             00:06:38.040 00:06:38.220
Augenblick                     00:06:38.220 00:06:38.600
sehr                           00:06:38.600 00:06:38.840
intensiv.                      00:06:38.840 00:06:39.400
Erleben                        00:06:39.540 00:06:40.300
plötzlich                      00:06:40.300 00:06:40.800
einen                          00:06:40.800 00:06:41.180
Wandel.                        00:06:41.180 00:06:41.640
Wir                            00:06:41.640 00:06:41.840
erleben,                       00:06:41.840 00:06:42.360
dass                           00:06:42.480 00:06:42.560
ein                            00:06:42.560 00:06:44.340
Druck                          00:06:44.340 00:06:44.660
entsteht                       00:06:44.660 00:06:45.340
in                             00:06:45.340 00:06:45.440
dieser                         00:06:45.440 00:06:45.740
Gesellschaft,                  00:06:45.740 00:06:46.260
in                             00:06:46.440 00:06:46.500
dieser                         00:06:46.500 00:06:46.780
nun                            00:06:46.780 00:06:47.140
vernetzten                     00:06:47.140 00:06:48.040
globalisierten                 00:06:48.040 00:06:48.780
Welt,                          00:06:48.780 00:06:49.160
die                            00:06:49.680 00:06:49.740
auch                           00:06:49.740 00:06:49.940
unser                          00:06:49.940 00:06:50.200
deutsches                      00:06:50.200 00:06:50.580
Schulsystem                    00:06:50.580 00:06:51.100
nicht                          00:06:51.100 00:06:51.440
unbereit                       00:06:51.440 00:06:54.140
lässt.                         00:06:54.140 00:06:54.300
Und                            00:06:54.300 00:06:54.360
das                            00:06:54.360 00:06:54.360
ist,                           00:06:54.360 00:06:54.420
Schulen                        00:06:54.660 00:06:55.280
sehen                          00:06:55.280 00:06:56.700
sich                           00:06:56.700 00:06:57.040
mit                            00:06:57.040 00:06:57.740
Veränderungsnotwendigkeiten    00:06:57.740 00:07:00.680
konfrontiert                   00:07:00.680 00:07:01.720
und                            00:07:01.720 00:07:01.920
die                            00:07:01.920 00:07:02.120
werden                         00:07:02.120 00:07:02.440
wir                            00:07:02.440 00:07:02.620
auch                           00:07:02.620 00:07:02.780
nicht                          00:07:02.780 00:07:02.980
abstellen                      00:07:02.980 00:07:03.440
können.                        00:07:03.440 00:07:03.700
Deshalb                        00:07:04.000 00:07:04.100
können                         00:07:04.100 00:07:04.340
wir                            00:07:04.340 00:07:04.520
uns                            00:07:04.520 00:07:04.700
im                             00:07:04.700 00:07:04.780
Grunde                         00:07:04.780 00:07:05.100
genommen                       00:07:05.100 00:07:05.220
schon                          00:07:05.220 00:07:05.440
mal                            00:07:05.440 00:07:05.620
ganz                           00:07:05.620 00:07:05.840
gelassen                       00:07:05.840 00:07:06.860
zurücklehnen                   00:07:06.860 00:07:07.600
und                            00:07:07.600 00:07:07.720
schauen,                       00:07:07.720 00:07:08.760
was                            00:07:09.040 00:07:09.140
da                             00:07:09.140 00:07:09.300
kommt.                         00:07:09.300 00:07:09.460
Das                            00:07:09.620 00:07:09.700
erste,                         00:07:09.700 00:07:09.880
was                            00:07:10.100 00:07:10.260
wir                            00:07:10.260 00:07:11.120
immer                          00:07:11.120 00:07:11.300
stärker                        00:07:11.300 00:07:11.760
erleben,                       00:07:11.760 00:07:12.360
ist,                           00:07:12.640 00:07:12.640
dass                           00:07:12.700 00:07:13.300
immer                          00:07:13.300 00:07:13.880
deutlicher                     00:07:13.880 00:07:14.540
wird                           00:07:14.540 00:07:14.660
und                            00:07:14.660 00:07:14.840
immer                          00:07:14.840 00:07:15.060
mehr                           00:07:15.060 00:07:15.400
Menschen                       00:07:15.400 00:07:16.140
davon                          00:07:16.140 00:07:16.480
überzeugt                      00:07:16.480 00:07:17.120
sind,                          00:07:17.120 00:07:17.340
dass                           00:07:17.460 00:07:17.500
in                             00:07:17.500 00:07:17.740
jedes                          00:07:17.740 00:07:18.340
Kind                           00:07:18.340 00:07:18.580
das                            00:07:18.580 00:07:18.880
Recht                          00:07:18.880 00:07:19.060
hat,                           00:07:19.060 00:07:19.460
die                            00:07:20.180 00:07:20.660
in                             00:07:20.660 00:07:20.960
ihm                            00:07:20.960 00:07:21.440
angelegten,                    00:07:21.440 00:07:22.580
verländen                      00:07:23.180 00:07:24.700
und                            00:07:24.700 00:07:24.860
begabungen                     00:07:24.860 00:07:25.620
auch                           00:07:25.620 00:07:27.040
wirklich                       00:07:27.040 00:07:27.300
zur                            00:07:27.300 00:07:27.520
Entfaltung                     00:07:27.520 00:07:27.900
bringen                        00:07:27.900 00:07:28.140
zu                             00:07:28.140 00:07:28.380
können.                        00:07:28.380 00:07:28.540
Vor                            00:07:29.140 00:07:29.240
50                             00:07:29.240 00:07:29.640
Jahren                         00:07:29.640 00:07:30.000
haben                          00:07:30.000 00:07:30.100
wir                            00:07:30.100 00:07:30.220
noch                           00:07:30.220 00:07:30.340
gedacht,                       00:07:30.340 00:07:30.640
dass                           00:07:31.040 00:07:31.260
es                             00:07:31.260 00:07:31.380
Kinder                         00:07:31.380 00:07:31.660
gibt,                          00:07:31.660 00:07:31.920
die                            00:07:32.120 00:07:32.160
bestimmte                      00:07:32.160 00:07:32.780
Dinge                          00:07:32.780 00:07:33.280
gar                            00:07:33.280 00:07:33.500
nicht                          00:07:33.500 00:07:33.680
lernen                         00:07:33.680 00:07:33.900
können.                        00:07:33.900 00:07:34.240
Trisomie                       00:07:34.540 00:07:34.920
21,                            00:07:34.920 00:07:35.360
hier                           00:07:35.360 00:07:35.940
sind                           00:07:35.940 00:07:36.140
die.                           00:07:36.140 00:07:36.340
Und                            00:07:36.760 00:07:36.820
da                             00:07:36.820 00:07:36.920
waren                          00:07:36.920 00:07:37.060
wir                            00:07:37.060 00:07:37.220
kollektiv                      00:07:37.220 00:07:37.820
alle                           00:07:37.820 00:07:38.120
der                            00:07:38.120 00:07:38.300
Vorstellung,                   00:07:38.300 00:07:38.740
das                            00:07:38.960 00:07:39.280
lohnt                          00:07:39.280 00:07:39.540
sich                           00:07:39.540 00:07:39.680
nicht,                         00:07:39.680 00:07:39.900
dass                           00:07:40.100 00:07:40.200
man                            00:07:40.200 00:07:40.380
die                            00:07:40.380 00:07:40.540
unterrichtet.                  00:07:40.540 00:07:41.120
Ginge                          00:07:41.400 00:07:41.460
ja                             00:07:41.460 00:07:41.620
auch                           00:07:41.620 00:07:41.780
nicht.                         00:07:41.780 00:07:41.940
Und                            00:07:42.740 00:07:43.020
dann                           00:07:43.020 00:07:43.160
gibt                           00:07:43.160 00:07:43.320
es                             00:07:43.320 00:07:43.560
plötzlich                      00:07:43.560 00:07:43.900
begnadetes                     00:07:43.900 00:07:44.680
Sonderschulpädagogen.          00:07:44.680 00:07:45.980
Die                            00:07:46.580 00:07:47.140
glauben                        00:07:47.140 00:07:48.080
nicht                          00:07:48.080 00:07:48.440
an                             00:07:48.440 00:07:48.620
das,                           00:07:48.620 00:07:48.800
was                            00:07:48.940 00:07:49.000
alle                           00:07:49.000 00:07:49.340
glauben.                       00:07:49.340 00:07:49.700
Das                            00:07:50.340 00:07:50.440
sind                           00:07:50.440 00:07:50.780
Hälten.                        00:07:50.780 00:07:51.220
Und                            00:07:52.300 00:07:52.700
die                            00:07:52.700 00:07:52.900
lösen                          00:07:52.900 00:07:53.300
sich                           00:07:53.300 00:07:53.480
von                            00:07:53.480 00:07:53.680
diesen                         00:07:53.680 00:07:53.940
alten                          00:07:53.940 00:07:54.440
Vorstellungen                  00:07:54.440 00:07:55.040
gehen                          00:07:55.040 00:07:55.280
runter                         00:07:55.280 00:07:55.720
zu                             00:07:55.720 00:07:56.620
diesem                         00:07:56.620 00:07:56.900
Kind                           00:07:56.900 00:07:57.060
und                            00:07:57.060 00:07:57.280
schauen                        00:07:57.280 00:07:57.540
den                            00:07:57.540 00:07:57.760
endlich                        00:07:57.760 00:07:58.060
meinen                         00:07:58.060 00:07:58.340
Augen.                         00:07:58.340 00:07:58.640
Und                            00:07:59.220 00:07:59.340
versuchen                      00:07:59.340 00:07:59.680
mal                            00:07:59.680 00:07:59.940
rauszufinden,                  00:07:59.940 00:08:00.760
was                            00:08:01.160 00:08:01.900
da                             00:08:01.900 00:08:02.080
rauskommt.                     00:08:02.080 00:08:02.560
Und                            00:08:02.720 00:08:02.800
wann                           00:08:02.800 00:08:02.960
diese                          00:08:02.960 00:08:03.240
Augen                          00:08:03.240 00:08:03.540
zu                             00:08:03.540 00:08:03.740
leuchten                       00:08:03.740 00:08:04.100
anfingen,                      00:08:04.100 00:08:04.480
anstatt                        00:08:04.640 00:08:04.920
die                            00:08:04.920 00:08:05.060
mit                            00:08:05.060 00:08:06.480
diesem                         00:08:06.480 00:08:06.760
ganzen                         00:08:06.760 00:08:07.080
Wissen                         00:08:07.080 00:08:07.440
und                            00:08:07.440 00:08:07.600
mit                            00:08:07.600 00:08:07.800
ihrem                          00:08:07.800 00:08:08.020
Unterricht                     00:08:08.020 00:08:08.520
und                            00:08:08.520 00:08:08.660
mit                            00:08:08.660 00:08:08.820
ihren                          00:08:08.820 00:08:09.080
Belährungen                    00:08:09.080 00:08:09.680
vollzustapfen.                 00:08:09.680 00:08:09.960
Und                            00:08:09.960 00:08:10.680
plötzlich                      00:08:10.680 00:08:11.120
waren                          00:08:11.120 00:08:11.680
diese                          00:08:11.680 00:08:12.080
Kinder                         00:08:12.080 00:08:12.360
auf.                           00:08:12.360 00:08:12.700
Trisomie                       00:08:13.020 00:08:13.420
21,                            00:08:13.420 00:08:13.960
die                            00:08:14.220 00:08:14.340
wir                            00:08:14.340 00:08:14.480
Mongus                         00:08:14.480 00:08:14.920
genannt                        00:08:14.920 00:08:15.240
haben.                         00:08:15.240 00:08:15.580
Und                            00:08:16.080 00:08:16.140
die                            00:08:16.140 00:08:16.280
ersten                         00:08:16.280 00:08:16.560
von                            00:08:16.560 00:08:16.760
denen                          00:08:16.760 00:08:16.980
haben                          00:08:16.980 00:08:17.180
heute                          00:08:17.180 00:08:17.580
Appetur                        00:08:17.580 00:08:18.440
gemacht                        00:08:18.440 00:08:18.720
und                            00:08:18.720 00:08:18.940
studieren.                     00:08:18.940 00:08:19.380
Das                            00:08:19.600 00:08:19.720
ist                            00:08:19.720 00:08:19.880
die                            00:08:19.880 00:08:20.060
neue                           00:08:20.060 00:08:20.300
Welt.                          00:08:20.300 00:08:20.560
So,                            00:08:21.780 00:08:21.880
wie                            00:08:22.020 00:08:22.080
kommen                         00:08:22.080 00:08:22.260
wir                            00:08:22.260 00:08:22.460
dahin?                         00:08:22.460 00:08:22.780
Wir                            00:08:23.940 00:08:24.120
kommen                         00:08:24.120 00:08:24.400
dahin,                         00:08:24.400 00:08:25.140
indem                          00:08:25.260 00:08:25.460
wir                            00:08:25.460 00:08:25.680
diesen                         00:08:25.680 00:08:26.160
Druck                          00:08:26.160 00:08:26.780
auch                           00:08:26.780 00:08:27.060
noch                           00:08:27.060 00:08:27.220
weiter                         00:08:27.220 00:08:27.660
verstärken,                    00:08:27.660 00:08:28.600
indem                          00:08:28.660 00:08:28.840
wir                            00:08:28.840 00:08:29.140
darauf                         00:08:29.140 00:08:29.580
achten                         00:08:29.580 00:08:30.120
und                            00:08:30.120 00:08:30.280
auch                           00:08:30.280 00:08:30.460
einfordern,                    00:08:30.460 00:08:31.200
dass                           00:08:31.280 00:08:31.340
jedes                          00:08:31.340 00:08:31.720
Kind                           00:08:31.720 00:08:32.060
eine                           00:08:32.060 00:08:32.300
Möglichkeit                    00:08:32.300 00:08:32.520
haben                          00:08:32.520 00:08:32.980
muss,                          00:08:32.980 00:08:33.300
die                            00:08:33.760 00:08:33.860
in                             00:08:33.860 00:08:34.040
ihm                            00:08:34.040 00:08:34.640
angelegten                     00:08:34.640 00:08:35.840
Talent                         00:08:35.840 00:08:36.120
und                            00:08:36.120 00:08:36.480
Begabung                       00:08:36.480 00:08:37.080
in                             00:08:37.080 00:08:37.340
unseren                        00:08:37.340 00:08:37.720
Schulen                        00:08:37.720 00:08:38.120
entfalten                      00:08:38.120 00:08:39.020
zu                             00:08:39.020 00:08:39.300
können.                        00:08:39.300 00:08:39.540
Und                            00:08:39.540 00:08:40.000
wir                            00:08:40.000 00:08:40.140
kommen                         00:08:40.140 00:08:40.400
dahin,                         00:08:40.400 00:08:40.920
weil                           00:08:41.040 00:08:41.120
wir                            00:08:41.120 00:08:41.340
auch                           00:08:41.340 00:08:41.520
immer                          00:08:41.520 00:08:42.060
deutlicher                     00:08:42.060 00:08:42.700
sehen,                         00:08:42.700 00:08:43.000
dass                           00:08:43.420 00:08:43.620
das,                           00:08:43.620 00:08:43.880
was                            00:08:43.880 00:08:44.120
in                             00:08:44.120 00:08:44.320
unseren                        00:08:44.320 00:08:44.620
gegendartigen                  00:08:44.620 00:08:45.360
Schulen                        00:08:45.360 00:08:45.720
erworben                       00:08:45.720 00:08:46.960
wird                           00:08:46.960 00:08:47.220
gar                            00:08:47.220 00:08:47.460
nicht                          00:08:47.460 00:08:47.600
das                            00:08:47.600 00:08:47.800
ist,                           00:08:47.800 00:08:48.200
worauf                         00:08:48.740 00:08:49.160
es                             00:08:49.160 00:08:49.340
in                             00:08:49.340 00:08:49.460
der                            00:08:49.460 00:08:49.600
Welt                           00:08:49.600 00:08:49.880
ist,                           00:08:49.880 00:08:50.120
21.                            00:08:50.360 00:08:50.760
Jahrhunderts                   00:08:51.880 00:08:52.360
eigentlich                     00:08:52.360 00:08:52.400
ankommt.                       00:08:52.400 00:08:52.880
Das                            00:08:53.480 00:08:53.600
geht                           00:08:53.600 00:08:53.800
dann                           00:08:53.800 00:08:54.000
nicht                          00:08:54.000 00:08:54.180
mehr                           00:08:54.180 00:08:54.360
in                             00:08:54.360 00:08:54.580
diesem                         00:08:54.580 00:08:54.860
in                             00:08:54.860 00:08:55.520
der                            00:08:55.520 00:08:55.660
Zukunft                        00:08:55.660 00:08:56.040
darum,                         00:08:56.040 00:08:56.520
dass                           00:08:56.580 00:08:56.740
man                            00:08:56.740 00:08:56.900
sich                           00:08:56.900 00:08:57.100
so                             00:08:57.100 00:08:57.300
ein                            00:08:57.300 00:08:57.500
Wissenskahn                    00:08:57.500 00:08:58.240
und                            00:08:58.240 00:08:58.600
aus                            00:08:58.600 00:08:59.120
der                            00:08:59.120 00:08:59.320
bürgerlichen                   00:08:59.320 00:08:59.920
Zeit                           00:08:59.920 00:09:00.280
angeeignet                     00:09:00.280 00:09:01.040
hat,                           00:09:01.040 00:09:01.220
mit                            00:09:01.340 00:09:01.420
dem                            00:09:01.420 00:09:01.600
man                            00:09:01.600 00:09:01.820
dann                           00:09:01.820 00:09:01.980
in                             00:09:01.980 00:09:02.880
irgendwelchen                  00:09:02.880 00:09:03.660
bürgerlichen                   00:09:03.660 00:09:04.260
Kreis                          00:09:04.260 00:09:04.680
und                            00:09:04.680 00:09:04.800
schön                          00:09:04.800 00:09:04.960
palieren                       00:09:04.960 00:09:05.540
kann                           00:09:05.540 00:09:05.860
und                            00:09:05.860 00:09:06.060
wo                             00:09:06.060 00:09:06.220
man                            00:09:06.220 00:09:06.360
über                           00:09:06.360 00:09:06.620
alles                          00:09:06.620 00:09:06.860
schön                          00:09:06.860 00:09:07.200
mitreden                       00:09:07.200 00:09:07.800
kann.                          00:09:07.800 00:09:08.020
Und                            00:09:08.020 00:09:08.400
es                             00:09:08.400 00:09:09.680
geht                           00:09:09.680 00:09:09.820
auch                           00:09:09.820 00:09:10.000
nicht                          00:09:10.000 00:09:10.120
