Wort                                  Start         Ende
--------------------------------------------------------
Ja,                            00:00:07.680 00:00:08.240
ne,                            00:04:29.720 00:04:29.920
was                            00:04:29.960 00:04:30.040
macht's?                       00:04:30.040 00:04:30.460
Boah,                          00:04:31.100 00:04:31.540
da                             00:04:31.540 00:04:31.620
hinterfragen                   00:04:31.620 00:04:32.160
deine                          00:04:32.160 00:04:32.560
Identität.                     00:04:32.560 00:04:33.360
Entwickler                     00:04:35.200 00:04:35.640
selbst,                        00:04:35.640 00:04:36.040
dain                           00:04:36.220 00:04:36.360
ich                            00:04:36.360 00:04:36.720
finde                          00:04:36.720 00:04:38.000
dich,                          00:04:38.000 00:04:38.380
also                           00:04:38.840 00:04:38.980
anstatt                        00:04:38.980 00:04:39.280
zu                             00:04:39.280 00:04:39.480
stabilisieren,                 00:04:39.480 00:04:40.340
hat                            00:04:40.440 00:04:40.500
sie                            00:04:40.500 00:04:40.620
noch                           00:04:40.620 00:04:40.760
alles                          00:04:40.760 00:04:42.040
andere                         00:04:42.040 00:04:42.320
gemacht,                       00:04:42.320 00:04:42.560
nämlich                        00:04:42.780 00:04:42.820
dich                           00:04:42.820 00:04:43.080
stabilisiert                   00:04:43.080 00:04:43.800
die                            00:04:43.800 00:04:44.000
ganze                          00:04:44.000 00:04:44.180
Zeit.                          00:04:44.180 00:04:44.380
Im                             00:04:44.480 00:04:44.580
Nachhinein                     00:04:44.580 00:04:44.920
bin                            00:04:44.920 00:04:45.080
ich                            00:04:45.080 00:04:45.200
glücklich,                     00:04:45.200 00:04:45.520
aber                           00:04:45.620 00:04:45.760
damals                         00:04:45.760 00:04:46.040
eine                           00:04:46.040 00:04:46.240
schwierige                     00:04:46.240 00:04:46.580
Zeit.                          00:04:46.580 00:04:46.780
Wie                            00:04:47.280 00:04:47.440
bin                            00:04:47.440 00:04:47.600
ich                            00:04:47.600 00:04:47.760
aus                            00:04:47.760 00:04:47.940
dieser                         00:04:47.940 00:04:48.780
Identitätskrise                00:04:48.780 00:04:50.720
nennen,                        00:04:50.720 00:04:51.060
war                            00:04:51.140 00:04:51.160
das                            00:04:51.160 00:04:51.320
mal                            00:04:51.320 00:04:51.580
rausgekommen?                  00:04:51.580 00:04:52.840
Am                             00:04:54.060 00:04:54.620
Anfang                         00:04:54.620 00:04:54.880
sicherlich                     00:04:54.880 00:04:55.380
unbewusst                      00:04:55.380 00:04:55.860
nach                           00:04:55.860 00:04:56.080
und                            00:04:56.080 00:04:56.200
nach                           00:04:56.200 00:04:56.380
immer                          00:04:56.380 00:04:56.580
mehr                           00:04:56.580 00:04:56.800
bewusster,                     00:04:56.800 00:04:57.580
indem                          00:04:57.980 00:04:58.320
ich                            00:04:58.320 00:04:58.560
für                            00:04:58.560 00:04:58.720
mich                           00:04:58.720 00:04:58.920
entdeckt                       00:04:58.920 00:04:59.480
habe,                          00:04:59.480 00:04:59.920
dass                           00:05:00.080 00:05:00.140
eine                           00:05:00.140 00:05:00.600
Möglichkeit,                   00:05:00.600 00:05:01.920
um                             00:05:02.720 00:05:03.700
zu                             00:05:03.700 00:05:03.940
meinem                         00:05:03.940 00:05:04.140
Ich                            00:05:04.140 00:05:04.380
zu                             00:05:04.380 00:05:04.660
finden,                        00:05:04.660 00:05:05.020
der                            00:05:05.340 00:05:05.800
Umgang,                        00:05:05.800 00:05:06.340
die                            00:05:06.640 00:05:06.720
Bewertung                      00:05:06.720 00:05:07.460
von                            00:05:07.460 00:05:08.720
Spielregeln                    00:05:08.720 00:05:09.420
ist.                           00:05:09.420 00:05:09.640
Ich                            00:05:11.240 00:05:11.800
habe                           00:05:11.800 00:05:11.860
also                           00:05:11.860 00:05:12.100
über                           00:05:12.100 00:05:12.240
die                            00:05:12.240 00:05:12.360
Jahre                          00:05:12.360 00:05:12.660
angefangen,                    00:05:12.660 00:05:13.220
erst                           00:05:13.220 00:05:13.400
mal                            00:05:13.400 00:05:13.580
klassische                     00:05:13.580 00:05:14.100
Revolution,                    00:05:14.100 00:05:14.600
gegen                          00:05:14.760 00:05:14.880
alles,                         00:05:14.880 00:05:15.160
was                            00:05:15.160 00:05:15.340
Spielregeln                    00:05:15.340 00:05:15.860
ist,                           00:05:15.860 00:05:16.000
nachher                        00:05:16.100 00:05:16.320
vielleicht                     00:05:16.320 00:05:16.500
ein                            00:05:16.500 00:05:16.680
bisschen                       00:05:16.680 00:05:16.800
bewusster.                     00:05:16.800 00:05:17.260
Spielregeln                    00:05:17.840 00:05:18.320
auf                            00:05:18.320 00:05:18.480
den                            00:05:18.480 00:05:18.640
Tisch                          00:05:18.640 00:05:18.960
zu                             00:05:18.960 00:05:19.220
legen                          00:05:19.220 00:05:19.420
und                            00:05:19.420 00:05:19.640
zu                             00:05:19.640 00:05:19.800
fragen,                        00:05:19.800 00:05:20.060
willst                         00:05:21.060 00:05:21.540
du                             00:05:21.540 00:05:21.780
diese                          00:05:21.780 00:05:22.040
Spielregel                     00:05:22.040 00:05:22.620
akzeptieren                    00:05:22.620 00:05:23.260
oder                           00:05:23.260 00:05:23.440
willst                         00:05:23.440 00:05:23.680
du                             00:05:23.680 00:05:23.860
nicht?                         00:05:23.860 00:05:24.020
Willst                         00:05:24.240 00:05:24.480
du                             00:05:24.480 00:05:24.540
sie                            00:05:24.540 00:05:24.680
wegschmeißen?                  00:05:24.680 00:05:25.720
Willst                         00:05:26.840 00:05:27.320
du                             00:05:27.320 00:05:27.400
sie                            00:05:27.400 00:05:27.520
umschreiben?                   00:05:27.520 00:05:28.400
Wie                            00:05:28.700 00:05:28.740
willst                         00:05:28.740 00:05:28.940
du                             00:05:28.940 00:05:29.120
sie                            00:05:29.120 00:05:29.280
in                             00:05:29.280 00:05:29.380
Zukunft                        00:05:29.380 00:05:29.680
verwenden?                     00:05:29.680 00:05:30.200
Das                            00:05:31.060 00:05:31.260
ist                            00:05:31.260 00:05:31.380
der                            00:05:31.380 00:05:31.520
Kern                           00:05:31.520 00:05:31.720
meines                         00:05:31.720 00:05:32.160
Vortrags,                      00:05:32.820 00:05:33.300
dass                           00:05:33.320 00:05:33.540
man                            00:05:33.540 00:05:33.740
so                             00:05:33.740 00:05:34.060
Spielregeln                    00:05:34.060 00:05:35.920
automatisch                    00:05:35.920 00:05:37.000
immer                          00:05:37.000 00:05:37.420
wieder                         00:05:37.420 00:05:37.920
gerne                          00:05:37.920 00:05:38.360
anwendet,                      00:05:38.360 00:05:39.220
unüberprüft.                   00:05:39.380 00:05:40.520
Das                            00:05:42.100 00:05:42.520
ist                            00:05:42.520 00:05:42.560
ja                             00:05:42.560 00:05:42.560
irgendwo                       00:05:42.560 00:05:42.840
ein                            00:05:42.840 00:05:43.060
selbstverständliches           00:05:43.060 00:05:43.820
Ding.                          00:05:43.820 00:05:43.980
Das                            00:05:44.080 00:05:44.160
ist                            00:05:44.160 00:05:44.280
ja                             00:05:44.280 00:05:44.400
wie                            00:05:44.400 00:05:44.520
so                             00:05:44.520 00:05:44.660
ein                            00:05:44.660 00:05:45.180
Platz                          00:05:45.180 00:05:45.460
und                            00:05:45.460 00:05:45.760
Algorithmus,                   00:05:45.760 00:05:46.320
der                            00:05:46.320 00:05:46.560
uns                            00:05:46.560 00:05:46.700
einfach                        00:05:46.700 00:05:47.020
überkommen.                    00:05:47.020 00:05:47.460
Und                            00:05:47.980 00:05:48.040
es                             00:05:48.040 00:05:48.120
ist                            00:05:48.120 00:05:48.240
nicht                          00:05:48.240 00:05:48.420
selbstverständlich,            00:05:48.420 00:05:49.260
diese                          00:05:49.260 00:05:49.500
Spielregel                     00:05:49.500 00:05:50.020
werden                         00:05:50.020 00:05:50.200
beim                           00:05:50.200 00:05:50.420
Vorredner,                     00:05:50.420 00:05:50.980
das                            00:05:51.140 00:05:51.280
macht                          00:05:51.280 00:05:52.200
man                            00:05:52.200 00:05:52.540
nicht.                         00:05:52.540 00:05:52.840
Aber                           00:05:54.600 00:05:55.020
wir                            00:05:55.020 00:05:55.160
machen                         00:05:55.160 00:05:55.420
es                             00:05:55.420 00:05:55.620
halt                           00:05:55.620 00:05:55.780
dann                           00:05:55.780 00:05:55.960
doch.                          00:05:55.960 00:05:56.300
Und                            00:05:57.120 00:05:57.200
wie                            00:05:57.200 00:05:57.320
tief                           00:05:57.320 00:05:57.560
das                            00:05:57.560 00:05:57.800
sitzt,                         00:05:57.800 00:05:58.080
will                           00:05:58.240 00:05:58.280
ich                            00:05:58.280 00:05:58.420
an                             00:05:58.420 00:05:58.580
etwas                          00:05:58.580 00:05:58.900
verdeutlichen,                 00:05:58.900 00:05:59.540
was                            00:05:59.580 00:05:59.660
ich                            00:05:59.660 00:05:59.760
vor                            00:05:59.760 00:05:59.880
ca.                            00:05:59.880 00:06:00.040
zwei                           00:06:00.180 00:06:00.420
Wochen                         00:06:00.420 00:06:00.600
von                            00:06:00.600 00:06:00.780
Karsten                        00:06:00.780 00:06:01.180
Brocker                        00:06:01.180 00:06:01.480
ein                            00:06:01.480 00:06:01.720
Rednerfreund                   00:06:01.720 00:06:02.800
gezeigt                        00:06:02.800 00:06:03.120
bekam.                         00:06:03.120 00:06:03.680
Er                             00:06:04.000 00:06:04.180
hat                            00:06:04.180 00:06:04.300
was                            00:06:04.300 00:06:04.460
ganz                           00:06:04.460 00:06:04.620
einfaches                      00:06:04.620 00:06:05.220
mit                            00:06:05.220 00:06:05.340
dem                            00:06:05.340 00:06:05.500
Publikum                       00:06:05.500 00:06:05.960
gemacht                        00:06:05.960 00:06:06.240
und                            00:06:06.240 00:06:06.400
das                            00:06:06.400 00:06:06.540
will                           00:06:06.540 00:06:06.680
ich                            00:06:06.680 00:06:06.820
ganz                           00:06:06.820 00:06:06.960
gerne                          00:06:06.960 00:06:07.280
mit                            00:06:07.280 00:06:07.480
Ihnen                          00:06:07.480 00:06:07.720
eigentlich                     00:06:07.720 00:06:08.140
machen.                        00:06:08.140 00:06:08.400
Nehmen                         00:06:08.400 00:06:08.940
Sie                            00:06:08.940 00:06:09.040
mal                            00:06:09.040 00:06:09.200
alle                           00:06:09.200 00:06:09.760
bitte                          00:06:09.760 00:06:10.000
Ihre                           00:06:10.000 00:06:10.280
Rechte                         00:06:10.280 00:06:10.720
Hand.                          00:06:10.720 00:06:11.040
Und                            00:06:12.060 00:06:12.620
dann                           00:06:12.620 00:06:12.640
nehmen                         00:06:12.640 00:06:12.780
Sie                            00:06:12.780 00:06:13.000
die                            00:06:13.000 00:06:13.140
Linke                          00:06:13.140 00:06:13.460
Hand                           00:06:13.460 00:06:13.820
und                            00:06:13.820 00:06:14.760
dann                           00:06:14.760 00:06:14.900
drücken                        00:06:14.900 00:06:15.200
Sie                            00:06:15.200 00:06:15.420
diese                          00:06:15.420 00:06:15.700
Rechte                         00:06:15.700 00:06:16.140
und                            00:06:16.140 00:06:16.320
diese                          00:06:16.320 00:06:16.600
Linke                          00:06:16.600 00:06:17.020
Hand                           00:06:17.020 00:06:17.320
so                             00:06:17.320 00:06:17.660
fest                           00:06:17.660 00:06:18.160
zusammen                       00:06:18.160 00:06:18.680
wie                            00:06:18.680 00:06:18.860
sie                            00:06:18.860 00:06:18.980
können.                        00:06:18.980 00:06:19.220
Also                           00:06:19.840 00:06:20.040
schon                          00:06:20.040 00:06:20.320
bei,                           00:06:20.320 00:06:20.520
aber                           00:06:20.620 00:06:20.740
hier                           00:06:20.740 00:06:20.920
sie                            00:06:20.920 00:06:21.240
können                         00:06:21.240 00:06:21.420
ein                            00:06:21.420 00:06:21.600
bisschen                       00:06:21.600 00:06:21.720
tiefer                         00:06:21.720 00:06:22.100
drücken.                       00:06:22.100 00:06:22.380
Was                            00:06:22.860 00:06:23.420
passiert                       00:06:23.420 00:06:25.720
jetzt                          00:06:25.720 00:06:26.020
eigentlich?                    00:06:26.020 00:06:26.320
Jetzt                          00:06:26.320 00:06:26.620
passiert                       00:06:26.620 00:06:26.940
gar                            00:06:26.940 00:06:27.260
nichts.                        00:06:27.260 00:06:27.660
Beide                          00:06:27.980 00:06:28.180
Hände                          00:06:28.180 00:06:28.460
drücken                        00:06:28.460 00:06:28.800
zusammen.                      00:06:28.800 00:06:29.220
Was                            00:06:30.480 00:06:30.820
habe                           00:06:30.820 00:06:30.960
ich                            00:06:30.960 00:06:31.120
Ihnen                          00:06:31.120 00:06:31.320
gesagt?                        00:06:31.320 00:06:31.680
Ich                            00:06:31.900 00:06:32.020
habe                           00:06:32.020 00:06:32.100
Ihnen                          00:06:32.100 00:06:32.280
gesagt,                        00:06:32.280 00:06:32.620
drücken                        00:06:33.000 00:06:33.260
Sie                            00:06:33.260 00:06:33.500
die                            00:06:33.500 00:06:33.680
Rechte                         00:06:33.680 00:06:34.140
Hand                           00:06:34.140 00:06:34.440
gegen                          00:06:34.440 00:06:34.780
die                            00:06:34.780 00:06:34.980
Linke                          00:06:34.980 00:06:35.320
Hand.                          00:06:35.320 00:06:35.640
Die                            00:06:37.000 00:06:37.520
logischer                      00:06:37.520 00:06:37.940
Antwort                        00:06:37.940 00:06:38.320
ist                            00:06:38.320 00:06:38.580
eigentlich                     00:06:38.580 00:06:38.900
das,                           00:06:38.900 00:06:39.180
nämlich                        00:06:39.500 00:06:39.600
das                            00:06:39.600 00:06:39.840
Ihre                           00:06:39.840 00:06:40.100
Linke                          00:06:40.100 00:06:40.640
Hand                           00:06:40.640 00:06:40.900
nach                           00:06:40.900 00:06:41.180
links                          00:06:41.180 00:06:41.460
auswand.                       00:06:41.460 00:06:42.060
Nein,                          00:06:42.420 00:06:42.540
aber                           00:06:42.680 00:06:42.800
sie                            00:06:42.800 00:06:42.940
haben                          00:06:42.940 00:06:43.060
ein                            00:06:43.060 00:06:43.360
inneres                        00:06:43.360 00:06:43.820
Programm                       00:06:43.820 00:06:44.180
abgefahren.                    00:06:44.180 00:06:44.980
Das                            00:06:45.100 00:06:45.180
ist                            00:06:45.180 00:06:45.380
in                             00:06:45.380 00:06:45.660
unserem                        00:06:45.660 00:06:46.000
Korb                           00:06:46.000 00:06:46.360
trennen,                       00:06:46.360 00:06:46.760
das                            00:06:46.840 00:06:46.860
ist                            00:06:46.860 00:06:47.000
Aktion                         00:06:47.000 00:06:47.440
und                            00:06:47.440 00:06:47.740
Reaktion,                      00:06:47.740 00:06:48.220
das                            00:06:48.600 00:06:48.660
ist                            00:06:48.660 00:06:48.800
Kraft                          00:06:48.800 00:06:49.100
und                            00:06:49.100 00:06:49.360
Gegenker,                      00:06:49.360 00:06:49.780
bam                            00:06:50.040 00:06:50.200
und                            00:06:50.200 00:06:50.480
beide                          00:06:50.480 00:06:50.780
drücken                        00:06:50.780 00:06:51.060
fröhlich                       00:06:51.060 00:06:51.460
gegeneinander.                 00:06:51.460 00:06:51.900
Anstatt                        00:06:52.040 00:06:52.320
das.                           00:06:52.320 00:06:52.520
Mal                            00:06:52.700 00:06:52.840
was                            00:06:52.840 00:06:53.000
ich                            00:06:53.000 00:06:53.160
Ihnen                          00:06:53.160 00:06:53.300
gesagt                         00:06:53.300 00:06:53.520
habe.                          00:06:53.520 00:06:53.760
Zack,                          00:06:54.060 00:06:54.160
nach                           00:06:54.560 00:06:54.620
nichts.                        00:06:54.620 00:06:54.860
Rügel.                         00:06:55.060 00:06:55.240
Andere                         00:06:56.300 00:06:56.820
Regeln,                        00:06:56.820 00:06:57.080
die                            00:06:57.180 00:06:57.200
sind                           00:06:57.200 00:06:57.420
so,                            00:06:57.420 00:06:57.660
wie                            00:06:57.820 00:06:58.200
gesagt,                        00:06:58.200 00:06:58.420
dann                           00:06:58.580 00:06:58.680
kann                           00:06:58.680 00:06:58.800
man                            00:06:58.800 00:06:58.920
den                            00:06:58.920 00:06:59.000
Vorredner                      00:06:59.000 00:06:59.460
so                             00:06:59.460 00:06:59.600
was                            00:06:59.600 00:06:59.760
macht                          00:06:59.760 00:07:00.080
man                            00:07:00.080 00:07:00.260
nicht.                         00:07:00.260 00:07:00.480
Etwas                          00:07:00.480 00:07:01.180
runterdeckeliert               00:07:01.180 00:07:02.620
heißt                          00:07:02.620 00:07:02.940
das                            00:07:02.940 00:07:03.120
doch                           00:07:03.120 00:07:03.280
konkret.                       00:07:03.280 00:07:03.700
So                             00:07:03.920 00:07:04.000
was                            00:07:04.000 00:07:04.160
sagt                           00:07:04.160 00:07:04.740
man                            00:07:04.740 00:07:04.920
nicht.                         00:07:04.920 00:07:05.220
Wenn                           00:07:05.940 00:07:06.380
Sie                            00:07:06.380 00:07:06.540
Ihnen                          00:07:06.540 00:07:06.680
ein                            00:07:06.680 00:07:06.840
bisschen                       00:07:06.840 00:07:07.020
in                             00:07:07.020 00:07:07.340
dem                            00:07:07.340 00:07:07.420
Kontext                        00:07:07.420 00:07:07.820
sind,                          00:07:07.820 00:07:08.100
der                            00:07:08.100 00:07:08.220
vielleicht                     00:07:08.220 00:07:08.540
nicht                          00:07:08.540 00:07:08.760
ganz                           00:07:08.760 00:07:08.980
zu                             00:07:08.980 00:07:09.160
privat                         00:07:09.160 00:07:09.380
ist,                           00:07:09.380 00:07:09.660
dann                           00:07:09.740 00:07:09.780
sagen                          00:07:09.780 00:07:09.960
Sie                            00:07:09.960 00:07:10.120
in                             00:07:10.120 00:07:10.240
der                            00:07:10.240 00:07:10.280
Regel                          00:07:10.280 00:07:10.460
auch                           00:07:10.460 00:07:10.600
nicht,                         00:07:10.600 00:07:10.740
ich                            00:07:10.780 00:07:10.900
gehe                           00:07:10.900 00:07:10.980
aufs                           00:07:10.980 00:07:11.220
Klo,                           00:07:11.220 00:07:11.420
sondern                        00:07:11.860 00:07:12.180
nicht                          00:07:12.180 00:07:12.380
gehe                           00:07:12.380 00:07:12.520
aufs                           00:07:12.520 00:07:12.720
Stille,                        00:07:12.720 00:07:12.980
ertchen.                       00:07:13.100 00:07:13.440
Oder                           00:07:14.920 00:07:15.080
sowas                          00:07:15.080 00:07:16.560
fragt                          00:07:16.560 00:07:16.980
man                            00:07:16.980 00:07:17.060
nicht.                         00:07:17.060 00:07:17.240
Dazu                           00:07:17.340 00:07:17.520
eine                           00:07:17.520 00:07:17.660
Geschichte                     00:07:17.660 00:07:17.980
von                            00:07:17.980 00:07:18.340
mir                            00:07:18.340 00:07:18.600
als                            00:07:18.600 00:07:18.940
Kind                           00:07:18.940 00:07:19.220
und                            00:07:19.220 00:07:19.740
danach                         00:07:19.740 00:07:20.100
als                            00:07:20.100 00:07:20.540
Papa.                          00:07:20.540 00:07:20.780
Meine                          00:07:22.360 00:07:22.800
Sohnemann,                     00:07:22.800 00:07:23.360
nehmen                         00:07:23.840 00:07:24.120
wir                            00:07:24.120 00:07:24.300
mal                            00:07:24.300 00:07:24.440
das                            00:07:24.440 00:07:24.560
erst                           00:07:24.560 00:07:24.680
ich                            00:07:24.680 00:07:24.920
als                            00:07:24.920 00:07:25.100
Kind.                          00:07:25.100 00:07:25.360
Ich                            00:07:25.780 00:07:26.020
war                            00:07:26.020 00:07:26.260
meiner                         00:07:26.260 00:07:26.500
Mutter                         00:07:26.500 00:07:26.780
Straßenbahn.                   00:07:26.780 00:07:27.680
Vor                            00:07:28.640 00:07:29.020
mir                            00:07:29.020 00:07:29.200
sitzt                          00:07:29.200 00:07:29.460
jemand                         00:07:29.460 00:07:29.820
so                             00:07:29.820 00:07:30.960
eine                           00:07:30.960 00:07:31.500
Nase.                          00:07:31.500 00:07:31.840
Also                           00:07:32.500 00:07:32.680
so                             00:07:32.680 00:07:32.880
wie                            00:07:32.880 00:07:33.120
ich                            00:07:33.120 00:07:33.280
ungefähr.                      00:07:33.280 00:07:33.600
Vielleicht                     00:07:33.820 00:07:34.100
nur                            00:07:34.100 00:07:34.260
also                           00:07:34.260 00:07:34.440
in                             00:07:34.440 00:07:34.720
die                            00:07:34.720 00:07:34.840
Ingewuchs.                     00:07:34.840 00:07:35.240
Und                            00:07:36.400 00:07:36.500
nicht                          00:07:36.500 00:07:36.600
zu                             00:07:36.600 00:07:36.740
meiner                         00:07:36.740 00:07:36.880
Mutter.                        00:07:36.880 00:07:37.220
Man                            00:07:38.580 00:07:39.060
hat                            00:07:39.060 00:07:39.200
ein                            00:07:39.200 00:07:39.320
der                            00:07:39.320 00:07:39.400
so                             00:07:39.400 00:07:39.540
eine                           00:07:39.540 00:07:39.660
große                          00:07:39.660 00:07:39.900
Nase.                          00:07:39.900 00:07:40.420
Die                            00:07:41.920 00:07:42.400
ganze                          00:07:42.400 00:07:42.520
Straßenbahn.                   00:07:42.520 00:07:43.080
Der                            00:07:44.740 00:07:45.220
Mann,                          00:07:45.220 00:07:45.400
der                            00:07:45.540 00:07:45.540
war,                           00:07:45.540 00:07:45.680
meine                          00:07:45.900 00:07:47.440
Mutter                         00:07:47.440 00:07:49.080
hat                            00:07:49.080 00:07:49.340
weiter                         00:07:49.340 00:07:49.880
aus                            00:07:49.880 00:07:50.180
besser                         00:07:50.180 00:07:50.340
reagiert                       00:07:50.340 00:07:50.940
als                            00:07:50.940 00:07:51.160
ich                            00:07:51.160 00:07:51.400
in                             00:07:51.400 00:07:51.560
der                            00:07:51.560 00:07:51.660
Situation                      00:07:51.660 00:07:52.140
ein                            00:07:52.140 00:07:52.300
paar                           00:07:52.300 00:07:52.380
Jahre                          00:07:52.380 00:07:52.600
später                         00:07:52.600 00:07:52.860
mit                            00:07:52.860 00:07:53.080
meinem                         00:07:53.080 00:07:53.360
Sohn.                          00:07:53.360 00:07:53.720
Die                            00:07:54.640 00:07:54.840
hat                            00:07:54.840 00:07:55.040
gesagt,                        00:07:55.040 00:07:55.360
Grunde                         00:07:55.500 00:07:55.700
ist                            00:07:55.700 00:07:55.860
eine                           00:07:55.860 00:07:56.000
gute                           00:07:56.000 00:07:56.180
Frage.                         00:07:56.180 00:07:56.680
Ich                            00:07:59.200 00:07:59.520
kann                           00:07:59.520 00:07:59.680
dir                            00:07:59.680 00:07:59.820
die                            00:07:59.820 00:07:59.940
Antwort                        00:07:59.940 00:08:00.160
nicht                          00:08:00.160 00:08:00.380
geben.                         00:08:00.380 00:08:00.540
Vielleicht                     00:08:00.680 00:08:00.920
war                            00:08:00.920 00:08:01.120
es                             00:08:01.120 00:08:01.240
der                            00:08:01.240 00:08:01.340
Papa,                          00:08:01.340 00:08:01.580
der                            00:08:01.740 00:08:01.800
eine                           00:08:01.800 00:08:01.940
große                          00:08:01.940 00:08:02.180
Nase                           00:08:02.180 00:08:02.480
hat.                           00:08:02.480 00:08:02.820
Vielleicht                     00:08:03.600 00:08:03.840
ist                            00:08:03.840 00:08:04.120
es                             00:08:04.120 00:08:04.320
die                            00:08:04.320 00:08:04.460
Mama,                          00:08:04.460 00:08:04.880
die                            00:08:05.140 00:08:05.140
eine                           00:08:05.140 00:08:05.260
große                          00:08:05.260 00:08:05.520
Nase,                          00:08:05.520 00:08:05.720
vielleicht                     00:08:05.840 00:08:06.020
beide                          00:08:06.020 00:08:06.580
oder                           00:08:06.580 00:08:07.040
vielleicht                     00:08:07.040 00:08:07.260
hat                            00:08:07.260 00:08:07.440
es                             00:08:07.440 00:08:07.560
der                            00:08:07.560 00:08:07.660
Lieben                         00:08:07.660 00:08:07.840
Herr                           00:08:07.840 00:08:08.060
Gott                           00:08:08.060 00:08:08.240
gemacht.                       00:08:08.240 00:08:08.600
Aber                           00:08:10.120 00:08:10.560
eine                           00:08:10.560 00:08:10.860
kleine                         00:08:10.860 00:08:11.220
Bittebode.                     00:08:11.220 00:08:11.820
Fragen                         00:08:12.580 00:08:13.020
zu                             00:08:13.020 00:08:13.200
stellen                        00:08:13.200 00:08:13.400
ist                            00:08:13.400 00:08:13.600
was                            00:08:13.600 00:08:13.720
wunderbares,                   00:08:13.720 00:08:14.420
aber                           00:08:14.420 00:08:14.580
in                             00:08:14.580 00:08:14.700
manchen                        00:08:14.700 00:08:15.180
Situationen                    00:08:15.180 00:08:16.140
sind                           00:08:16.140 00:08:16.260
sie                            00:08:16.260 00:08:16.460
nicht                          00:08:16.460 00:08:16.660
ganz                           00:08:16.660 00:08:16.980
so                             00:08:16.980 00:08:17.360
wunderbar.                     00:08:17.360 00:08:17.860
Ich                            00:08:18.580 00:08:18.800
bitte                          00:08:18.800 00:08:19.020
dich                           00:08:19.020 00:08:19.260
einfach                        00:08:19.260 00:08:19.640
in                             00:08:19.640 00:08:19.820
Zukunft,                       00:08:19.820 00:08:20.300
in                             00:08:21.300 00:08:21.780
Zukunft                        00:08:21.780 00:08:22.200
hinzugehen                     00:08:22.200 00:08:22.940
und                            00:08:22.940 00:08:23.300
nicht                          00:08:23.300 00:08:23.440
in                             00:08:23.440 00:08:23.720
jede                           00:08:23.720 00:08:24.080
Moment                         00:08:24.080 00:08:24.380
jede                           00:08:24.380 00:08:24.760
Frage                          00:08:24.760 00:08:25.240
zu                             00:08:25.240 00:08:25.500
stellen.                       00:08:25.500 00:08:25.740
Also                           00:08:26.500 00:08:26.580
sie                            00:08:26.580 00:08:26.940
hat                            00:08:26.940 00:08:27.040
eine                           00:08:27.040 00:08:27.160
ganz                           00:08:27.160 00:08:27.320
andere                         00:08:27.320 00:08:27.760
Spielregel                     00:08:27.760 00:08:28.300
formuliert                     00:08:28.300 00:08:28.860
als                            00:08:28.860 00:08:29.660
dieses                         00:08:29.660 00:08:30.540
sowas                          00:08:30.540 00:08:31.260
fragt                          00:08:31.260 00:08:31.800
man                            00:08:31.800 00:08:31.900
nicht.                         00:08:31.900 00:08:32.040
Wie                            00:08:32.160 00:08:32.200
ist                            00:08:32.200 00:08:32.360
das                            00:08:32.360 00:08:32.500
dann                           00:08:32.500 00:08:32.620
ein                            00:08:32.620 00:08:32.700
paar                           00:08:32.700 00:08:32.820
Jahre                          00:08:32.820 00:08:33.020
später                         00:08:33.020 00:08:33.380
mit                            00:08:33.380 00:08:33.580
meinem                         00:08:33.580 00:08:33.820
Sohn                           00:08:33.820 00:08:34.160
gleiche                        00:08:34.160 00:08:34.820
Situation?                     00:08:34.820 00:08:35.020
Ich                            00:08:35.300 00:08:35.380
glaube                         00:08:35.380 00:08:35.480
zwar                           00:08:35.480 00:08:35.700
in                             00:08:35.700 00:08:35.780
Bus                            00:08:35.780 00:08:35.960
in                             00:08:35.960 00:08:36.140
Berlin                         00:08:36.140 00:08:36.380
und                            00:08:36.380 00:08:36.680
so                             00:08:36.680 00:08:37.280
eine                           00:08:37.280 00:08:37.400
Mann                           00:08:37.400 00:08:37.540
fragt                          00:08:37.540 00:08:37.860
keine                          00:08:37.860 00:08:38.000
Ahnung,                        00:08:38.000 00:08:38.340
warum                          00:08:38.440 00:08:38.540
hat                            00:08:38.540 00:08:38.740
der                            00:08:38.740 00:08:38.880
so                             00:08:38.880 00:08:39.060
eine                           00:08:39.060 00:08:39.180
große                          00:08:39.180 00:08:39.420
Nase                           00:08:39.420 00:08:39.800
oder                           00:08:39.800 00:08:40.000
ich                            00:08:40.000 00:08:40.460
weiß                           00:08:40.460 00:08:40.640
es                             00:08:40.640 00:08:40.820
nicht                          00:08:40.820 00:08:40.980
mehr.                          00:08:40.980 00:08:41.140
Und                            00:08:41.600 00:08:41.620
meine                          00:08:41.620 00:08:41.880
Programm,                      00:08:42.380 00:08:42.860
meine                          00:08:43.480 00:08:43.760
Zusammendrücken,               00:08:43.760 00:08:44.520
meine                          00:08:44.680 00:08:44.780
Spielregel,                    00:08:44.780 00:08:45.160
so                             00:08:45.240 00:08:45.320
was                            00:08:45.320 00:08:45.420
sagt                           00:08:45.420 00:08:45.640
man                            00:08:45.640 00:08:45.780
nicht,                         00:08:45.780 00:08:45.900
so                             00:08:46.180 00:08:46.220
was                            00:08:46.220 00:08:46.380
fragt                          00:08:46.380 00:08:46.660
man                            00:08:46.660 00:08:46.740
nicht.                         00:08:46.740 00:08:46.940
Und                            00:08:48.000 00:08:48.160
dann                           00:08:48.160 00:08:48.260
